# Ranked static MoE experts: layer expert miss_count access_count bytes
# budget_mib=8192 selected=4491 phase=prefill selected_mib=8190.41 trace_avoidable_mib=23241270.70
6 21 3611 4242 1900544
36 134 3608 3919 1900544
1 9 3607 4795 1900544
35 49 3606 7000 1900544
11 178 3606 4786 1900544
38 251 3601 6600 2039808
3 246 3601 5086 1900544
36 136 3601 5060 1900544
3 216 3601 4759 1900544
16 133 3601 4062 1900544
27 242 3600 8437 1900544
39 215 3600 5772 2039808
32 194 3597 5041 1900544
2 172 3597 4949 1900544
29 62 3596 4167 1900544
31 194 3594 4427 1900544
14 30 3593 5682 1900544
28 138 3593 4264 1900544
13 19 3592 4933 1900544
31 199 3592 4577 1900544
2 182 3590 5592 1900544
2 163 3590 3901 1900544
15 58 3589 8316 1900544
15 241 3589 5125 1900544
25 192 3589 3880 1900544
19 30 3588 9168 1900544
30 201 3588 7754 1900544
38 233 3588 4512 2039808
2 162 3586 4433 1900544
28 201 3585 4483 1900544
25 240 3582 4554 1900544
32 99 3581 4404 1900544
18 201 3578 5941 1900544
27 229 3577 9193 1900544
1 187 3576 3979 1900544
30 126 3575 7954 1900544
36 246 3575 6482 1900544
2 29 3575 5120 1900544
1 134 3569 4287 1900544
25 202 3568 7032 1900544
26 196 3567 5628 1900544
1 223 3567 5156 1900544
3 51 3567 4105 1900544
30 94 3565 4794 1900544
15 103 3565 4721 1900544
7 203 3563 6607 1900544
3 255 3562 5409 1900544
31 191 3558 4256 1900544
24 0 3558 4216 1900544
28 91 3557 4088 1900544
28 105 3556 4788 1900544
28 151 3556 4557 1900544
2 128 3556 4083 1900544
16 151 3555 5026 1900544
1 63 3554 4353 1900544
26 50 3553 6189 1900544
10 88 3551 5602 1900544
36 186 3551 4649 1900544
31 221 3550 5082 1900544
32 192 3546 7384 1900544
2 8 3545 5341 1900544
17 86 3542 4310 1900544
38 123 3541 4139 2039808
23 51 3541 3932 1900544
30 170 3540 4797 1900544
27 46 3537 4958 1900544
18 141 3536 4074 1900544
35 5 3534 4097 1900544
30 237 3534 3815 1900544
0 43 3533 9121 1900544
12 160 3533 4620 1900544
2 167 3532 5329 1900544
2 159 3528 4678 1900544
1 79 3528 4521 1900544
0 67 3528 4360 1900544
12 166 3527 5287 1900544
